Study Name	Abbreviation	PubMed Central Link	Authors	Affiliations	Title	Abstract	Keywords
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8490152/	Sasse Alexander; Ng Bernard; Spiro Anna E; Tasaki Shinya; Bennett David A; Gaiteri Christopher; De Jager Philip L; Chikina Maria; Mostafavi Sara	Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA.; Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA.; Center for Translational & Computational Neuroimmunology, Department of Neurology, and the Taub Institute for the Study of Alzheimer's Disease and the Aging Brain, Columbia University Irving Medical Center, New York, NY, USA.; Department of Computational and Systems Biology, University of Pittsburgh, Pittsburgh, PA, USA. mchikina@gmail.com.; Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA, USA. saramos@cs.washington.edu.	Benchmarking of deep neural networks for predicting personal gene expression from DNA sequence highlights shortcomings.	Deep learning methods have recently become the state of the art in a variety of regulatory genomic tasks	
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10652415/	Hao Yanan; Li Chuhao; Wang He; Ming Chen	Department of Public Health and Medicinal Administration, Faculty of Health Sciences, University of Macau, Macau, Macao SAR, China.; Department of Public Health and Medicinal Administration, Faculty of Health Sciences, University of Macau, Macau, Macao SAR, China.; Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, Shanghai, China.; Department of Public Health and Medicinal Administration, Faculty of Health Sciences, University of Macau, Macau, Macao SAR, China.	Effects of copy number variations on longevity in late-onset Alzheimer's disease patients: insights from a causality network analysis.	Alzheimer's disease (AD), particularly late-onset Alzheimer's disease (LOAD), is a prevalent form of dementia that significantly affects patients' cognitive and behavioral capacities and longevity. Although approximately 70 genetic risk factors linked with AD have been identified, their influence on patient longevity remains unclear. Further, recent studies have associated copy number variations (CNVs) with the longevity of healthy individuals and immune-related pathways in AD patients. This study aims to investigate the role of CNVs on the longevity of AD patients by integrating the Whole Genome Sequencing (WGS) and transcriptomics data from the Religious Orders Study/Memory and Aging Project (ROSMAP) cohort through causality network inference. Our comprehensive analysis led to the construction of a CNV-Gene-Age of Death (AOD) causality network. We successfully identified three key CNVs (DEL5006, mCNV14192, and DUP42180) and seven AD-longevity causal genes (	Alzheimer’s disease; causality network; copy number variation; longevity; plasminogen activation
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10916937/	Hou Yuan; Caldwell Jessica Z K; Lathia Justin D; Leverenz James B; Pieper Andrew A; Cummings Jeffrey; Cheng Feixiong	Genomic Medicine Institute, Cleveland Clinic, Lerner Research Institute, Cleveland, Ohio, USA.; Department of Molecular Medicine, Cleveland Clinic Lerner College of Medicine, Case Western Reserve University, Cleveland, Ohio, USA.; Department of Molecular Medicine, Cleveland Clinic Lerner College of Medicine, Case Western Reserve University, Cleveland, Ohio, USA.; Lou Ruvo Center for Brain Health, Cleveland Clinic, Neurological Institute, Cleveland, Ohio, USA.; Brain Health Medicines Center, Harrington Discovery Institute, University Hospitals Cleveland Medical Center, Cleveland, Ohio, USA.; Chambers-Grundy Center for Transformative Neuroscience, Department of Brain Health, School of Integrated Health Sciences, University of Nevada Las Vegas, Las Vegas, Nevada, USA.; Genomic Medicine Institute, Cleveland Clinic, Lerner Research Institute, Cleveland, Ohio, USA.	Microglial immunometabolism endophenotypes contribute to sex difference in Alzheimer's disease.	"The molecular mechanisms that contribute to sex differences, in particular female predominance, in Alzheimer's disease (AD) prevalence, symptomology, and pathology, are incompletely understood. To address this problem, we investigated cellular metabolism and immune responses (""immunometabolism endophenotype"") across AD individuals as a function of sex with diverse clinical diagnosis of cognitive status at death (cogdx), Braak staging, and Consortium to Establish a Registry for AD (CERAD) scores using human cortex metabolomics and transcriptomics data from the Religious Orders Study / Memory and Aging Project (ROSMAP) cohort. We identified sex-specific metabolites, immune and metabolic genes, and pathways associated with the AD diagnosis and progression. We identified female-specific elevation in glycerophosphorylcholine and N-acetylglutamate, which are AD inflammatory metabolites involved in interleukin (IL)-17 signaling, C-type lectin receptor, interferon signaling, and Toll-like receptor pathways. We pinpointed distinct microglia-specific immunometabolism endophenotypes (i.e., lipid- and amino acid-specific IL-10 and IL-17 signaling pathways) between female and male AD subjects. In addition, female AD subjects showed evidence of diminished excitatory neuron and microglia communications via glutamate-mediated immunometabolism. Our results point to new understanding of the molecular basis for female predominance in AD, and warrant future independent validations with ethnically diverse patient cohorts to establish a likely causal relationship of microglial immunometabolism in the sex differences in AD. Sex-specific immune metabolites, gene networks and pathways, are associated with Alzheimer's disease pathogenesis and disease progression. Female AD subjects exhibit microglial immunometabolism endophenotypes characterized by decreased glutamate metabolism and elevated interleukin-10 pathway activity. Female AD subjects showed a shift in glutamate-mediated cell-cell communications between excitatory neurons to microglia and astrocyte."	Alzheimer's disease; endophenotype; glutamate; immunometabolism; microglia; multi-omics; sex difference
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10861197/	Zhang Jingyun; Sun Xiaoyi; Jia Xueqing; Sun Binggui; Xu Shijun; Zhang Weiping; Liu Zuyun	Center for Clinical Big Data and Analytics of the Second Affiliated Hospital, and Department of Big Data in Health Science School of Public Health, the Key Laboratory of Intelligent Preventive Medicine of Zhejiang Province, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.; Center for Clinical Big Data and Analytics of the Second Affiliated Hospital, and Department of Big Data in Health Science School of Public Health, the Key Laboratory of Intelligent Preventive Medicine of Zhejiang Province, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.; Center for Clinical Big Data and Analytics of the Second Affiliated Hospital, and Department of Big Data in Health Science School of Public Health, the Key Laboratory of Intelligent Preventive Medicine of Zhejiang Province, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.; Department of Neurobiology, School of Basic Medical Sciences, Key Laboratory of Medical Neurobiology (Ministry of Health of China), Key Laboratory of Neurobiology of Zhejiang Province, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.; Institute of Material Medica Integration and Transformation for Brain Disorders, and School of Pharmacy, Chengdu University of Traditional Chinese Medicine, Chengdu, Sichuan, China.; Department of Pharmacology, Institute of Neuroscience, Key Laboratory of Medical Neurobiology of the Ministry of Health of China, Zhejiang Province Key Laboratory of Mental Disorder's Management, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.; Center for Clinical Big Data and Analytics of the Second Affiliated Hospital, and Department of Big Data in Health Science School of Public Health, the Key Laboratory of Intelligent Preventive Medicine of Zhejiang Province, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China.	Integrative multi-omics analysis reveals the critical role of the PBXIP1 gene in Alzheimer's disease.	Alzheimer's disease (AD) is a neurodegenerative disorder, and its strongest risk factor is aging. A few studies have explored the relationship between aging and AD, while the underlying mechanism remains unclear. We assembled data across multi-omics (i.e., epigenetics, transcriptomics, and proteomics, based on frozen tissues from the dorsolateral prefrontal cortex) and neuropathological and clinical traits from the Religious Orders Study and Rush Memory and Aging Project (ROSMAP). Aging was assessed using six DNA methylation clocks (including the Horvath clock, Hannum clock, Levine clock, HorvathSkin clock, Lin clock, and Cortical clock) that capture mortality risk in literature. After accounting for age, we first identified a gene module (including 263 genes) that was related to the integrated aging measure of six clocks, as well as three neuropathological traits of AD (i.e., β-amyloid, Tau tangles, and tangle density). Interestingly, among 20 key genes with top intramodular connectivity of the module, PBXIP1 was the only one that was significantly associated with all three neuropathological traits of AD at the protein level after Bonferroni correction. Furthermore, PBXIP1 was associated with the clinical diagnosis of AD in both ROSMAP and three independent datasets. Moreover, PBXIP1 may be related to AD through its role in astrocytes and hippocampal neurons, and the mTOR pathway. The results suggest the critical role of PBXIP1 in AD and support the potential and feasibility of using multi-omics data to investigate mechanisms of complex diseases. However, more validations in different populations and experiments in vitro and in vivo are required in the future.	Alzheimer's disease; DNA methylation clocks; RNA-seq; aging; neuropathology; proteomics
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10635399/	Han Sang-Won; Pyun Jung-Min; Bice Paula J; Bennett David A; Saykin Andrew J; Kim SangYun; Park Young Ho; Nho Kwangsik	Chuncheon Sacred Heart Hospital.; Soonchunhyang University Seoul Hospital.; Indiana University School of Medicine.; Rush University Medical Center.; Indiana University School of Medicine.; Seoul National University Bundang Hospital, Seoul National University College of Medicine.; Seoul National University Bundang Hospital, Seoul National University College of Medicine.; Indiana University School of Medicine.	miR-129-5p as a biomarker for pathology and cognitive decline in Alzheimer's disease.	Alzheimer's dementia (AD) pathogenesis involves complex mechanisms, including microRNA (miRNA) dysregulation. Integrative network and machine learning analysis of miRNA can provide insights into AD pathology and prognostic/diagnostic biomarkers. We performed co-expression network analysis to identify network modules associated with AD, its neuropathology markers, and cognition using brain tissue miRNA profiles from the Religious Orders Study and Rush Memory and Aging Project (ROS/MAP) (N = 702) as a discovery dataset. We performed association analysis of hub miRNAs with AD, its neuropathology markers, and cognition. After selecting target genes of the hub miRNAs, we performed association analysis of the hub miRNAs with their target genes and then performed pathway-based enrichment analysis. For replication, we performed a consensus miRNA co-expression network analysis using the ROS/MAP dataset and an independent dataset (N = 16) from the Gene Expression Omnibus (GEO). Furthermore, we performed a machine learning approach to assess the performance of hub miRNAs for AD classification. Network analysis identified a glucose metabolism pathway-enriched module (M3) as significantly associated with AD and cognition. Five hub miRNAs (miR-129-5p, miR-433, miR-1260, miR-200a, and miR-221) of M3 had significant associations with AD clinical and/or pathologic traits, with miR129-5p by far the strongest across all phenotypes. Gene-set enrichment analysis of target genes associated with their corresponding hub miRNAs identified significantly enriched biological pathways including ErbB, AMPK, MAPK, and mTOR signaling pathways. Consensus network analysis identified two AD-associated consensus network modules, and two hub miRNAs (miR-129-5p and miR-221). Machine learning analysis showed that the AD classification performance (area under the curve (AUC) = 0.807) of age, sex, and Integrative network and machine learning analysis identified miRNA signatures, especially miR-129-5p, as associated with AD, its neuropathology markers, and cognition, enhancing our understanding of AD pathogenesis and leading to better performance of AD classification as potential diagnostic/prognostic biomarkers.	Alzheimer’s disease; Braak; CERAD; cognition; machine learning; miRNA-129-5p; microRNA; module; network
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC11106718/	Vivek Sithara; Faul Jessica; Thyagarajan Bharat; Guan Weihua	Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN, United States.; Institute for Social Research, Survey Research Center, University of Michigan, Ann Arbor, MI, United States.; Department of Laboratory Medicine and Pathology, University of Minnesota, Minneapolis, MN, United States. Electronic address: thya0003@umn.edu.; Division of Biostatistics, School of Public Health, University of Minnesota, Minneapolis MN, United States. Electronic address: wguan@umn.edu.	Explainable variational autoencoder (E-VAE) model using genome-wide SNPs to predict dementia.	Alzheimer's disease (AD) and AD related dementias (ADRD) are complex multifactorial neurodegenerative diseases. The associations between genetic variants obtained from genome wide association studies (GWAS) are the most widely available and well documented variants associated with ADRD. Application of deep learning methods to analyze large scale GWAS data may be a powerful approach to elucidate the biological mechanisms in ADRD compared to penalized regression models that may lead to over-fitting. We developed a deep learning frame work explainable variational autoencoder (E-VAE) classifier model using genotype (GWAS SNPs = 5474) data from 2714 study participants in the Health and Retirement Study (HRS) to classify ADRD. We validated the generalizability of this model among 234 participants in the Religious Orders Study and Memory and Aging Project (ROSMAP). Utilizing a linear decoder approach we have extracted the weights associated with latent features for biological interpretation. We obtained a predictive accuracy of 0.71 (95 % CI [0.59, 0.84]) with an AUC of 0.69 in the HRS test dataset and got an accuracy of 0.62 (95 % CI [0.56, 0.68]) with an AUC of 0.63 in the ROSMAP dataset. This is the first study showing the generalizability of a deep learning prediction model for dementia using genetic variants in an independent cohort. The latent features identified using E-VAE can help us understand the biology of AD/ ADRD and better characterize disease status.	Deep learning; Dementia; GWAS SNPs; Generalizable; Prediction model
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10612362/	Sarnowski Chloé; Huan Tianxiao; Ma Yiyi; Joehanes Roby; Beiser Alexa; DeCarli Charles S; Heard-Costa Nancy L; Levy Daniel; Lin Honghuang; Liu Ching-Ti; Liu Chunyu; Meigs James B; Satizabal Claudia L; Florez Jose C; Hivert Marie-France; Dupuis Josée; De Jager Philip L; Bennett David A; Seshadri Sudha; Morrison Alanna C	Human Genetics Center, Department of Epidemiology, Human Genetics, and Environmental Sciences, School of Public Health, The University of Texas Health Science Center at Houston, Houston, TX, USA. Chloe.Sarnowski@uth.tmc.edu.; Population Sciences Branch, National Heart, Lung and Blood Institutes of Health, Bethesda, MD, USA.; Center for Translational and Computational Neuroimmunology, Department of Neurology, Columbia University Irving Medical Center, New York, NY, USA.; Population Sciences Branch, National Heart, Lung and Blood Institutes of Health, Bethesda, MD, USA.; The Framingham Heart Study, Framingham, MA, USA.; Department of Neurology, University of California, Davis, CA, USA.; The Framingham Heart Study, Framingham, MA, USA.; Center for Translational and Computational Neuroimmunology, Department of Neurology, Columbia University Irving Medical Center, New York, NY, USA.; Department of Medicine, University of Massachusetts Chan Medical School, Worcester, MA, USA.; Department of Biostatistics, School of Public Health, Boston University, Boston, MA, USA.; Department of Biostatistics, School of Public Health, Boston University, Boston, MA, USA.; Division of General Internal Medicine, Massachusetts General Hospital, Boston, MA, USA.; The Framingham Heart Study, Framingham, MA, USA.; Department of Medicine, Harvard Medical School, Boston, MA, USA.; Department of Population Medicine, Harvard Medical School and Harvard Pilgrim Health Care Institute, Harvard University, Boston, MA, USA.; Department of Biostatistics, School of Public Health, Boston University, Boston, MA, USA.; Center for Translational and Computational Neuroimmunology, Department of Neurology, Columbia University Irving Medical Center, New York, NY, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA.; The Framingham Heart Study, Framingham, MA, USA.; Human Genetics Center, Department of Epidemiology, Human Genetics, and Environmental Sciences, School of Public Health, The University of Texas Health Science Center at Houston, Houston, TX, USA.	Multi-tissue epigenetic analysis identifies distinct associations underlying insulin resistance and Alzheimer's disease at CPT1A locus.	Insulin resistance (IR) is a major risk factor for Alzheimer's disease (AD) dementia. The mechanisms by which IR predisposes to AD are not well-understood. Epigenetic studies may help identify molecular signatures of IR associated with AD, thus improving our understanding of the biological and regulatory mechanisms linking IR and AD. We conducted an epigenome-wide association study of IR, quantified using the homeostatic model assessment of IR (HOMA-IR) and adjusted for body mass index, in 3,167 participants from the Framingham Heart Study (FHS) without type 2 diabetes at the time of blood draw used for methylation measurement. We identified DNA methylation markers associated with IR at the genome-wide level accounting for multiple testing (P < 1.1 × 10 We confirmed the strong association of blood DNA methylation with IR at three loci (cg17901584-DHCR24, cg17058475-CPT1A, cg00574958-CPT1A, and cg06500161-ABCG1). In FHS, higher levels of blood DNA methylation at cg00574958 and cg17058475 were both associated with lower IR (P = 2.4 × 10 Our results suggest potentially distinct epigenetic regulatory mechanisms between peripheral blood and dorsolateral prefrontal cortex tissues underlying IR and AD at CPT1A locus.	Alzheimer’s disease; DNA methylation; Epigenetics; FHS; Insulin resistance; ROSMAP
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10571626/	Huang Jinghan; Wang Yixuan; Stein Thor D; Ang Ting Fang Alvin; Zhu Yibo; Tao Qiushan; Lunetta Kathryn L; Mez Jesse; Au Rhoda; Farrer Lindsay A; Qiu Wei Qiao; Zhang Xiaoling	Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University School of Public Health.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.; Boston University Chobanian & Avedisian School of Medicine.	The impact of blood MCP-1 levels on Alzheimer's disease with genetic variation of UNC5C and NAV3 loci.	Previous study shows that monocyte chemoattractant protein-1 (MCP-1), which is implicated in the peripheral proinflammatory cascade and blood-brain barrier (BBB) disruption, modulates the genetic risks of AD in established AD loci. In this study, we hypothesized that blood MCP-1 impacts the AD risk of genetic variants beyond known AD loci. We thus performed a genome-wide association study (GWAS) using the logistic regression via generalized estimating equations (GEE) and the Cox proportional-hazards models to examine the interactive effects between single nucleotide polymorphisms (SNPs) and blood MCP-1 level on AD in three cohorts: the Framingham Heart Study (FHS), Alzheimer's Disease Neuroimaging Initiative (ADNI) and Religious Orders Study/Memory and Aging Project (ROSMAP). We identified SNPs in two genes, neuron navigator 3 (	Alzheimer’s disease; MCP-1; blood; genome-wide association study; peripheral inflammation
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10841499/	Lopes Katia de Paiva; Yu Lei; Shen Xianli; Qiu Yiguo; Tasaki Shinya; Iatrou Artemis; Beeri Michal Schnaider; Seyfried Nicholas T; Menon Vilas; Wang Yanling; Schneider Julie A; Cantor Harvey; Bennett David A	Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.; Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.; Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.; Joseph Sagol Neuroscience Center, Sheba Medical Center, Ramat Gan, Israel.; Goizueta Alzheimer's Disease Research Center, Department of Neurology and Department of Biochemistry, Emory University School of Medicine, Atlanta, Georgia, USA.; Center for Translational and Computational Neuroimmunology, Department of Neurology & Taub Institute for Research on Alzheimer's disease and the Aging Brain, Columbia University Irving Medical Center, New York, New York, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.; Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA.; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, Illinois, USA.	Associations of cortical SPP1 and ITGAX with cognition and common neuropathologies in older adults.	The secreted phosphoprotein 1 (SPP1) gene expressed by CD11c We leveraged protein measurements, single-nuclei, and RNASeq data from the Religious Orders Study and Rush Memory and Aging Project (ROSMAP) of over 1200 samples for association analysis. Expression of SPP1 and its encoded protein osteopontin were associated with faster cognitive decline and greater odds of common neuropathologies. At single-cell resolution, integrin subunit alpha X (ITGAX) was highly expressed in microglia, where specific subpopulations were associated with AD and cerebral amyloid angiopathy. The study provides evidence of SPP1 and ITGAX association with cognitive decline and common neuropathologies identifying a microglial subset associated with disease.	CD11c; ITGAX; OPN; RNASeq; SPP1; cognition; microglia; neuropathologies; osteopontin; snRNASeq
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10724213/	Zhou Dan-Yang; Su Xi; Wu Yong; Yang Yongfeng; Zhang Luwen; Cheng Shumin; Shao Minglong; Li Wenqiang; Zhang Zhaohui; Wang Lu; Lv Luxian; Li Ming; Song Meng	Yunnan Key Laboratory of Animal Models and Human Disease Mechanisms, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, Yunnan, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Research Center for Mental Health and Neuroscience, Wuhan Mental Health Center, Wuhan, Hubei, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Department of Psychiatry, The First Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Yunnan Key Laboratory of Animal Models and Human Disease Mechanisms, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, Yunnan, China.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China.; Yunnan Key Laboratory of Animal Models and Human Disease Mechanisms, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, Yunnan, China. limingkiz@mail.kiz.ac.cn.; Henan Mental Hospital, The Second Affiliated Hospital of Xinxiang Medical University, Xinxiang, Henan, China. song.meng.201@163.com.	Decreased CNNM2 expression in prefrontal cortex affects sensorimotor gating function, cognition, dendritic spine morphogenesis and risk of schizophrenia.	Genome-wide association studies (GWASs) have reported multiple single nucleotide polymorphisms (SNPs) associated with schizophrenia, yet the underlying molecular mechanisms are largely unknown. In this study, we aimed to identify schizophrenia relevant genes showing alterations in mRNA and protein expression associated with risk SNPs at the 10q24.32-33 GWAS locus. We carried out the quantitative trait loci (QTL) and summary data-based Mendelian randomization (SMR) analyses, using the PsychENCODE dorsolateral prefrontal cortex (DLPFC) expression QTL (eQTL) database, as well as the ROSMAP and Banner DLPFC protein QTL (pQTL) datasets. The gene CNNM2 (encoding a magnesium transporter) at 10q24.32-33 was identified to be a robust schizophrenia risk gene, and was highly expressed in human neurons according to single cell RNA-seq (scRNA-seq) data. We further revealed that reduced Cnnm2 in the mPFC of mice led to impaired cognition and compromised sensorimotor gating function, and decreased Cnnm2 in primary cortical neurons altered dendritic spine morphogenesis, confirming the link between CNNM2 and endophenotypes of schizophrenia. Proteomics analyses showed that reduced Cnnm2 level changed expression of proteins associated with neuronal structure and function. Together, these results identify a robust gene in the pathogenesis of schizophrenia.	
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10462057/	de Ávila Camila; Suazo Crystal; Nolz Jennifer; Cochran J Nicholas; Wang Qi; Velazquez Ramon; Dammer Eric; Readhead Benjamin; Mastroeni Diego	ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.; ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.; ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.; HudsonAlpha Institute for Biotechnology, 601 Genome Way, Huntsville, AL, 35806, USA.; ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.; ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.; Goizueta Alzheimer's Disease Research Center, Emory University School of Medicine, Atlanta, GA, USA.; ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.; ASU-Banner Neurodegenerative Disease Research Center, and School of Life Sciences, Arizona State University, Tempe, AZ, United States of America.	Reduced	Women have a higher incidence of Alzheimer's disease (AD), even after adjusting for increased longevity. Thus, there is an urgent need to identify the molecular networks that underpin the sex-associated risk of AD. Recent efforts have identified	Aging; Alzheimer’s; Females; Gene expression; PIN1; ROS/MAP
Religious Orders Study and Memory and Aging Project	ROSMAP	https://www.ncbi.nlm.nih.gov/pmc/articles/PMCPMC10791788/	Ma Yanni; Jia Tingting; Qin Fengqin; He Yongji; Han Feng; Zhang Chengcheng	Mental Health Center and Psychiatric Laboratory, The State Key Laboratory of Biotherapy, West China Hospital of Sichuan University, Chengdu, 610041, Sichuan, China.; Mental Health Center and Psychiatric Laboratory, The State Key Laboratory of Biotherapy, West China Hospital of Sichuan University, Chengdu, 610041, Sichuan, China.; Department of Neurology, The 3Rd Affiliated Hospital of Chengdu Medical College, Chengdu, Sichuan, China.; Clinical Trial Center, National Medical Products Administration Key Laboratory for Clinical Research and Evaluation of Innovative Drugs, West China Hospital Sichuan University, Chengdu, People's Republic of China.; Department of Emergency Medicine, Hainan General Hospital, Hainan Affiliated Hospital of Hainan Medical University, Haikou, China.; Mental Health Center and Psychiatric Laboratory, The State Key Laboratory of Biotherapy, West China Hospital of Sichuan University, Chengdu, 610041, Sichuan, China. zhangcc89@foxmail.com.	Abnormal Brain Protein Abundance and Cross-tissue mRNA Expression in Amyotrophic Lateral Sclerosis.	Due to the limitations of the present risk genes in understanding the etiology of amyotrophic lateral sclerosis (ALS), it is necessary to find additional causative genes utilizing novel approaches. In this study, we conducted a two-stage proteome-wide association study (PWAS) using ALS genome-wide association study (GWAS) data (N = 152,268) and two distinct human brain protein quantitative trait loci (pQTL) datasets (ROSMAP N = 376 and Banner N = 152) to identify ALS risk genes and prioritized candidate genes with Mendelian randomization (MR) and Bayesian colocalization analysis. Next, we verified the aberrant expression of risk genes in multiple tissues, including lower motor neurons, skeletal muscle, and whole blood. Six ALS risk genes (SCFD1, SARM1, TMEM175, BCS1L, WIPI2, and DHRS11) were found during the PWAS discovery phase, and SARM1 and BCS1L were confirmed during the validation phase. The following MR (p = 2.10 × 10	Amyotrophic lateral sclerosis (ALS); Differential expression analysis; Protein quantitative trait loci (pQTL); Proteome-wide association study
