Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	[clinical, imaging] Structural MRI; T1-weighted imaging; Clinical assessments; Demographic data	Alzheimer's Disease; Normal Controls	416 participants	https://sites.wustl.edu/oasisbrains/	Excellent FAIR compliance with open access neuroimaging data and standardized protocols	Human
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	[clinical, longitudinal, imaging] Longitudinal MRI; T1-weighted imaging; Clinical assessments; Cognitive assessments	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	150 participants	https://sites.wustl.edu/oasisbrains/	Excellent FAIR compliance with longitudinal neuroimaging data and standardized acquisition protocols	Human
Open Access Series of Imaging Studies - Multimodal	OASIS-3	[clinical, longitudinal, imaging] MRI; PET (PIB, AV45, FDG); DTI; FLAIR; ASL; Clinical assessments; CSF biomarkers; Cognitive testing; FreeSurfer processing	Alzheimer's Disease; Normal Controls; Cognitive Decline; Memory Disorders	1,378 participants	https://sites.wustl.edu/oasisbrains/	Excellent FAIR compliance with comprehensive multimodal neuroimaging and 30-year longitudinal data collection	Human
Parkinson's Disease Biomarkers Program	PDBP	[clinical, genetics, imaging] Clinical assessments; MRI; Blood biomarkers; CSF biomarkers; Genomics; Motor assessments; Cognitive testing	Parkinson's Disease; Atypical Parkinsonian Disorders; Essential Tremor; Normal Controls	1,000+ participants	https://pdbp.ninds.nih.gov/	Strong FAIR compliance with NINDS data sharing standards and integration with AMP-PD	Human
Parkinson's Progression Markers Initiative	PPMI	[clinical, longitudinal, transcriptomics, genetics, imaging] Clinical assessments; DaTscan SPECT; MRI; CSF biomarkers; Blood biomarkers; Genomics; WGS; RNA-seq; Cognitive testing; Longitudinal motor assessments	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	4,000+ participants	https://www.ppmi-info.org/	Excellent FAIR compliance with standardized protocols and open data sharing; integrated with AMP-PD platform	Human
Psychiatric Genomics Consortium Alzheimer's Disease Working Group	PsychAD	[clinical, genetics] Genomics; Clinical data; GWAS data	Alzheimer's Disease; Psychiatric disorders	40,000 participants	https://www.med.unc.edu/pgc/	Good FAIR compliance with genomic data sharing standards and psychiatric phenotype integration	Human
Religious Orders Study	ROS	[clinical, transcriptomics, genetics, proteomics, metabolomics] Clinical assessments; Neuropathology; WGS; RNA-seq; DNA methylation; H3K9Ac ChIP-seq; Proteomics; Metabolomics	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	1,200 participants	https://www.radc.rush.edu/	Excellent FAIR compliance with comprehensive multi-omics data and longitudinal clinical-pathological correlation	Human
Swedish BioFINDER-1 Study	BioFINDER-1	[clinical, genetics, imaging] Clinical assessments; MRI; PET; CSF biomarkers; Genomics; Cognitive assessments	Alzheimer's Disease; Parkinson's Disease; Mild Cognitive Impairment; Normal Controls	800 participants	https://biofinder.se/	Excellent FAIR compliance with standardized biomarker collection through EPND Hub	Human
Swedish BioFINDER-2 Study	BioFINDER-2	[clinical, genetics, imaging] Clinical assessments; MRI; Tau-PET; Amyloid-PET; CSF biomarkers; Plasma biomarkers; Genomics	Alzheimer's Disease; Parkinson's Disease; Mild Cognitive Impairment; Dementia; Normal Controls	600 participants	https://biofinder.se/	Excellent FAIR compliance with advanced tau-PET imaging and optimized clinical assessments	Human
Swedish BioFINDER-Preclinical AD Study	BioFINDER-Preclinical	[clinical, imaging] Clinical assessments; MRI; PET; CSF biomarkers; Plasma biomarkers; Cognitive assessments; Blood-based screening	Preclinical Alzheimer's Disease; Normal Controls	400 participants	https://biofinder.se/preclinical-ad/	Excellent FAIR compliance with focus on pre-symptomatic AD detection and trial-ready cohort development	Human
UK Biobank Neurodegenerative Cohort	UKB-Neuro	[clinical, genetics, imaging] MRI; Clinical assessments; Genomics; Electronic health records; Cognitive testing; Lifestyle data	Alzheimer's Disease; Parkinson's Disease; Dementia; Normal Aging; Multiple Neurodegenerative Conditions	40,000+ participants with brain imaging	https://www.ukbiobank.ac.uk/	Excellent FAIR compliance with population-scale data and comprehensive phenotyping	Human
Accelerating Medicines Partnership - Parkinson's Disease	AMP-PD	[clinical, longitudinal, transcriptomics, genetics, proteomics] Harmonized clinical data; WGS; RNA-seq; Targeted proteomics (Olink); Untargeted proteomics; CSF/plasma biomarkers; Motor assessments; Cognitive testing	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Essential Tremor; Normal Controls	10,772 participants from 8 cohorts (BioFIND, HBS, PDBP, PPMI, LBD, LCC, Steady PD, Sure PD)	https://amp-pd.org/	Excellent FAIR compliance with harmonized multi-cohort data integration and open access through Terra/BigQuery	Multiple
Accelerating Medicines Partnership - Alzheimer's Disease	AMP-AD	[clinical, transcriptomics, genetics, proteomics, metabolomics] Multi-omics brain tissue data; RNA-seq; WGS; Proteomics; Clinical phenotypes; Neuropathology; Single-cell transcriptomics	Alzheimer's Disease; Frontotemporal Dementia; Progressive Supranuclear Palsy; Normal Controls	~2,600 brain samples including African American and Latin American donors	https://adknowledgeportal.synapse.org/Explore/Programs/DetailsPage?Program=AMP-AD	Excellent FAIR compliance with comprehensive multi-omics integration and diverse population representation	Multiple
AD Knowledge Portal Multi-Study Collection	AD-Portal	[clinical, longitudinal, transcriptomics, genetics, proteomics, metabolomics, imaging] Aggregated multi-modal data; Clinical assessments; Omics data; Imaging; Biomarkers; Model organism data	Alzheimer's Disease; Related Dementias; Aging; Normal Controls	100,000+ data files from 80+ studies across 10+ NIA programs	https://adknowledgeportal.synapse.org/	Excellent FAIR compliance as central repository with standardized metadata and integrated data access	Multiple
Accelerating Medicines Partnership - PD and Related Disorders	AMP-PDRD	[clinical, longitudinal, genetics, proteomics] Expanded biomarker discovery; Blood/saliva biomarkers; Alpha-synuclein assays; Multi-disorder comparison data; Clinical assessments	Parkinson's Disease; Multiple System Atrophy; Lewy Body Dementia; Progressive Supranuclear Palsy; Controls	Expanding AMP-PD cohorts with additional related disorders (launched 2024)	https://fnih.org/our-programs/accelerating-medicines-partnership-amp/parkinsons-disease-and-related-disorders/	Strong FAIR compliance building on AMP-PD infrastructure with focus on differential diagnosis biomarkers	Multiple
Aligning Science Across Parkinson's Collaborative Research Network	ASAP-CRN	[clinical, longitudinal, transcriptomics, genetics, proteomics] Multi-team collaborative data; iPSC models; Functional genomics; Circuit physiology; Neuro-immune interactions; Open science resources	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Model Systems	35 international teams across 14 countries; Multiple cohorts and models	https://parkinsonsroadmap.org/	Excellent FAIR compliance with mandatory open science policy and rapid data sharing through multiple platforms	Multiple
Banner Alzheimer's Prevention Initiative	Banner-API	[clinical, longitudinal, genetics, imaging] Clinical assessments; MRI; DTI; fMRI; PET imaging; Cognitive testing; Prevention trial data	Preclinical Alzheimer's Disease; APOE4 carriers; Familial AD; Normal Controls	480 participants (Gen1); additional cohorts	https://www.banneralz.org/	Strong FAIR compliance with prevention-focused data collection and biomarker assessment	Human
Brains for Dementia Research	BDR	[clinical, genetics, imaging] Brain tissue donation; Clinical data; Genomics; MRI; Neuropathology; Longitudinal clinical records	Alzheimer's Disease; Dementia; Normal Controls	3,200 participants	https://www.brainsfordementiaresearch.org.uk/	Excellent FAIR compliance with UK-based brain donation program and standardized protocols	Human
CamPaIGN Study	CamPaIGN	[clinical] Clinical assessments; Quality of life measures; Cognitive testing; Caregiver assessments	Alzheimer's Disease; Mild Cognitive Impairment	142 participants	https://www.alzheimersdata.org/	Good FAIR compliance with clinical and quality of life focus	Human
Cognitive Function and Ageing Study	CFAS	[clinical, longitudinal] Population-based assessments; Cognitive testing; Neuropathology; Epidemiological data	Dementia; Cognitive Decline; Normal Aging	18,005 participants	http://www.cfas.ac.uk/	Excellent FAIR compliance with large population-based longitudinal design	Human
Cognitive Function and Ageing Study II	CFAS-II	[clinical, longitudinal] Population-based assessments; Quality of life; Cognitive testing; Health service use data	Dementia; Cognitive Decline; Normal Aging	7,524 participants	http://www.cfas.ac.uk/	Excellent FAIR compliance building on CFAS with contemporary cohort	Human
Aligning Science Across Parkinson's Collaborative Research Network	ASAP-CRN	[clinical, longitudinal, transcriptomics, genetics, proteomics] Multi-team collaborative data; iPSC models; Functional genomics; Circuit physiology; Neuro-immune interactions; Open science resources	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Model Systems	35 international teams across 14 countries; Multiple cohorts and models	https://parkinsonsroadmap.org/	Excellent FAIR compliance with mandatory open science policy and rapid data sharing through multiple platforms	Multi-cohort
Effect of Semagacestat in Alzheimer's Disease	IDENTITY	[clinical, longitudinal] Clinical trial data; Cognitive assessments; Biomarkers; Safety
Mount Sinai Brain Bank	MSBB	[clinical, transcriptomics, genetics, proteomics] Brain tissue; RNA-seq; WGS; Proteomics; Clinical data; Neuropathology; Multi-region sampling	Alzheimer's Disease; Other Neurodegenerative Diseases; Normal Controls	1,200+ brain samples from 4 brain regions	https://icahn.mssm.edu/research/nih-brain-tissue-repository	Strong FAIR compliance with deep molecular profiling and clinical-pathological correlation	Human
Seattle Alzheimer's Disease Brain Cell Atlas	SEA-AD	[clinical, transcriptomics, genetics] Single-nucleus RNA-seq; Spatial transcriptomics; WGS; Neuropathology; Quantitative neuropathology; ATAC-seq	Alzheimer's Disease; Normal Aging	84 donor brains with deep molecular profiling	https://portal.brain-map.org/explore/seattle-alzheimers-disease	Excellent FAIR compliance with comprehensive single-cell profiling and spatial resolution data	Human
MODEL-AD Consortium	MODEL-AD	[transcriptomics, genetics, proteomics] Mouse model data; Behavioral phenotyping; Transcriptomics; Proteomics; Neuropathology; Drug screening data	Alzheimer's Disease (mouse models)	Multiple mouse models with human AD gene variants	https://www.model-ad.org/	Strong FAIR compliance with standardized mouse model characterization and preclinical testing pipeline	Biosample
Mayo Clinic Brain Bank for Neurodegenerative Disorders	Mayo-Brain-Bank	[clinical, transcriptomics, genetics, proteomics] Brain tissue; RNA-seq; WGS; Proteomics; Neuropathology; Clinical records; Multi-region brain sampling	Alzheimer's Disease; Progressive Supranuclear Palsy; Corticobasal Degeneration; Frontotemporal Dementia; Normal Controls	5,000+ brain autopsy cases	https://www.mayo.edu/research/departments-divisions/department-neuroscience-florida/brain-bank	Excellent FAIR compliance with standardized neuropathological assessment and multi-omics characterization	Human
GP2 Genomic Data Collection	GP2-Genomics	[genetics] NeuroBooster array genotyping; Illumina Global Diversity Array backbone; Population genetics; Ancestry analysis	Parkinson's Disease; Controls (global populations)	150,000+ planned (15,000+ current) from diverse ancestries	https://gp2.org/	Excellent FAIR compliance with emphasis on global diversity and harmonized genotyping through AMP-PD	Multiple
Fox Insight	Fox-Insight	[clinical, longitudinal] Patient-reported outcomes; Online assessments; Quality of life; Motor/non-motor symptoms; Genetic data (23andMe partnership)	Parkinson's Disease; Prodromal PD; Controls	54,614 participants	https://foxinsight.michaeljfox.org/	Excellent FAIR compliance with large-scale online data collection and patient-centered outcomes	Human
Generation Scotland	GS	[clinical, genetics, imaging] Family-based study; Genomics; MRI brain imaging; Health records linkage; Mental health assessments	Multiple conditions including neurodegenerative diseases; Normal Aging	23,960 participants	https://www.ed.ac.uk/generation-scotland	Strong FAIR compliance with family-based design and record linkage	Human
GERAS Observational Study	GERAS	[clinical, longitudinal] Caregiver burden; Healthcare resource use; Clinical assessments; Cost data; Quality of life	Alzheimer's Disease; Mild Cognitive Impairment	1,497 participants (EU cohort)	https://www.alzheimersdata.org/	Good FAIR compliance with focus on real-world outcomes and caregiver impact	Human
Honolulu-Asia Aging Study	HAAS	[clinical, longitudinal] Clinical assessments; Neuropathology; Cognitive testing; Cardiovascular data; Asian-American population focus	Alzheimer's Disease; Dementia; Parkinson's Disease; Normal Aging	3,734 participants	https://www.nia.nih.gov/research/labs/leps/honolulu-asia-aging-study-haas	Excellent FAIR compliance with unique Asian-American cohort and long-term follow-up	Human
Incidence of Cognitive Impairment in Cohorts with Longitudinal Evaluation-PD	ICICLE-PD	[clinical, longitudinal, genetics, imaging] Clinical assessments; MRI; PET; Genomics; Cognitive testing; Motor assessments	Parkinson's Disease; PD Dementia; Mild Cognitive Impairment in PD	318 participants	https://research.ncl.ac.uk/icicle-pd/	Strong FAIR compliance with focus on cognitive decline in PD	Human
Northern Ireland Cohort for Longitudinal Study of Ageing	NICOLA	[clinical, genetics] Population-based assessments; GWAS; Health assessments; Social factors; Economic data	Aging; Multiple age-related conditions	8,504 participants	https://www.qub.ac.uk/sites/NICOLA/	Strong FAIR compliance with comprehensive aging cohort data	Human
PREVENT Dementia Programme	PREVENT	[clinical, longitudinal, genetics, imaging] MRI; Clinical assessments; GWAS; Cognitive testing; Risk factor assessment; Mid-life cohort	Dementia prevention; At-risk individuals; Normal Controls	700 participants	https://preventdementia.co.uk/	Strong FAIR compliance with focus on mid-life risk factors and prevention	Human
Semagacestat Alzheimer's Trial	Semagacestat	[clinical] Clinical trial data; Cognitive assessments; Biomarkers; Safety data; Gamma-secretase inhibitor	Alzheimer's Disease	1,717 participants across trials	https://www.alzheimersdata.org/	Good FAIR compliance with clinical trial data sharing	Human
Solanezumab EXPEDITION Program	EXPEDITION	[clinical] Clinical trial data; Anti-amyloid antibody; Cognitive assessments; Biomarkers; Imaging data	Mild to Moderate Alzheimer's Disease	2,129 participants (EXPEDITION 3)	https://www.alzheimersdata.org/	Good FAIR compliance with phase 3 trial data sharing	Human
The English Longitudinal Study of Ageing	ELSA	[clinical, longitudinal, genetics] Population-based assessments; Genomics; Clinical data; Quality of life; Economic factors; Social determinants	Aging; Dementia; Multiple age-related conditions	12,099 participants	https://www.elsa-project.ac.uk/	Excellent FAIR compliance with comprehensive longitudinal aging data	Human
Whitehall II Study	Whitehall-II	[clinical, longitudinal] Occupational cohort; Cognitive testing; Health behaviors; Social factors; Quality of life measures	Cognitive Decline; Dementia; Cardiovascular Disease; Aging	10,308 participants	https://www.ucl.ac.uk/epidemiology-health-care/research/epidemiology-and-public-health/research/whitehall-ii	Excellent FAIR compliance with long-running occupational cohort study	Human
Aberdeen Children of the 1950s	ACONF	[clinical, longitudinal] Birth cohort; Quality of life; Health outcomes; Aging trajectories	Aging; Multiple health conditions	12,150 participants	https://www.abdn.ac.uk/iahs/research/epidemiology/aconf.php	Good FAIR compliance with long-term birth cohort follow-up	Human
ADDIA Clinical Study	ADDIA	[clinical, imaging] Clinical assessments; PET imaging; MRI; Diagnostic biomarkers	Alzheimer's Disease; Mild Cognitive Impairment	821 participants	https://www.alzheimersdata.org/	Good FAIR compliance with diagnostic-focused data collection	Human
Alzheimer's Disease and Healthy Aging Data	ADHAD	[clinical] Population health data; Epidemiological assessments; Healthcare utilization	Alzheimer's Disease; Healthy Aging	250,937 participants	https://www.cdc.gov/aging/data/	Strong FAIR compliance with large population health dataset	Human
Amyloid Imaging for Phenotyping Lewy Body Dementia	AMPLE	[clinical, imaging] Clinical assessments; Amyloid PET; Structural MRI; DTI; FLAIR imaging	Lewy Body Dementia; Alzheimer's Disease; Normal Controls	80 participants	https://www.alzheimersdata.org/	Good FAIR compliance with multimodal imaging focus on LBD	Human
AMYPAD Prognostic Natural History Study	AMYPAD-PNHS	[clinical, longitudinal, imaging] Amyloid PET; MRI; fMRI; Clinical assessments; Cognitive testing	Preclinical Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	3,368 participants	https://amypad.eu/	Excellent FAIR compliance with European prevention cohort and harmonized imaging	Human
Answer ALS	Answer-ALS	[clinical, transcriptomics, genetics, proteomics] Multi-omics data; WGS; RNA-seq; Proteomics; Epigenomics; Clinical assessments; iPSC lines	Amyotrophic Lateral Sclerosis	1,269 participants	https://www.answerals.org/	Excellent FAIR compliance with comprehensive multi-omics ALS resource	Multiple
Brain Health Data Platform - Scotland	BHDP	[clinical, longitudinal] Electronic health records; Hospital admissions; Prescriptions; Mortality data; Cancer registry	Multiple neurological conditions; Dementia; Aging	820,000+ participants across datasets	https://www.ed.ac.uk/clinical-brain-sciences/research/brain-health-data-platform	Excellent FAIR compliance with linked health records across Scotland	Human
