model_id	author	last_modified	downloads	likes	tags	model_type	library_name	pipeline_tag	description	Hugging Face Link	Study Name	Abbreviation	Search Term
KBhandari11/vicuna_channel_3_human_aging_Complete_Random			21	1	"transformers, safetensors, llama, text-generation, model: vicuna, repo_name: vicuna_channel_3_human_aging_Complete Random, file_name: vicuna_channel_3_human_aging_Complete Random_5000_5.pt, base_model: lmsys/vicuna-7b-v1.5, pruning_style: channel, community: 3, pruning_ratio: 20, dataset_label: human_aging, sparsity_ratio: 20, dataset: ['tasksource/mmlu', 'human_aging'], finetune: Complete Random, modules_size: 38, modules: ['22_attn.o', '24_attn.v', '3_mlp.up', '21_mlp.down', '16_attn.v', '3_attn.k', '12_mlp.up', '11_attn.o', '3_attn.o', '5_attn.v', '28_mlp.up', '17_mlp.up', '11_attn.q', '13_gate', '10_mlp.up', '18_mlp.up', '10_attn.v', '9_attn.o', '13_attn.o', '19_attn.v', '5_mlp.down', '29_attn.v', '17_attn.v', '23_mlp.up', '23_gate', '21_attn.q', '7_attn.k', '19_attn.q', '13_mlp.up', '16_gate', '25_attn.q', '8_mlp.down', '20_attn.q', '20_attn.v', '19_attn.k', '12_attn.o', '24_gate', '25_attn.o'], rank: 1, tags: ['model: vicuna', 'repo_name: vicuna_channel_3_human_aging_Complete Random', 'file_name: vicuna_channel_3_human_aging_Complete Random_5000_5.pt', 'base_model: lmsys/vicuna-7b-v1.5', 'pruning_style: channel', 'community: 3', 'pruning_ratio: 20', 'dataset_label: human_aging', 'sparsity_ratio: 20', ""dataset: ['tasksource/mmlu', 'human_aging']"", 'finetune: Complete Random', 'modules_size: 38', ""modules: ['22_attn.o', '24_attn.v', '3_mlp.up', '21_mlp.down', '16_attn.v', '3_attn.k', '12_mlp.up', '11_attn.o', '3_attn.o', '5_attn.v', '28_mlp.up', '17_mlp.up', '11_attn.q', '13_gate', '10_mlp.up', '18_mlp.up', '10_attn.v', '9_attn.o', '13_attn.o', '19_attn.v', '5_mlp.down', '29_attn.v', '17_attn.v', '23_mlp.up', '23_gate', '21_attn.q', '7_attn.k', '19_attn.q', '13_mlp.up', '16_gate', '25_attn.q', '8_mlp.down', '20_attn.q', '20_attn.v', '19_attn.k', '12_attn.o', '24_gate', '25_attn.o']"", 'rank: 1'], arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"		transformers	text-generation		https://huggingface.co/KBhandari11/vicuna_channel_3_human_aging_Complete_Random	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
KBhandari11/vicuna_channel_3_human_aging_All			20	1	"transformers, safetensors, llama, text-generation, model: vicuna, repo_name: vicuna_channel_3_human_aging_All, file_name: vicuna_channel_3_human_aging_All_5000_5.pt, base_model: lmsys/vicuna-7b-v1.5, pruning_style: channel, community: 3, pruning_ratio: 20, dataset_label: human_aging, sparsity_ratio: 20, dataset: ['tasksource/mmlu', 'human_aging'], finetune: All, modules_size: 38, modules: ['10_mlp.down', '11_attn.k', '13_attn.k', '15_attn.o', '16_attn.k', '16_attn.o', '16_attn.q', '17_attn.k', '17_gate', '18_attn.v', '19_attn.o', '20_mlp.down', '21_attn.k', '21_mlp.up', '22_gate', '22_mlp.down', '23_attn.k', '24_attn.q', '24_mlp.down', '25_attn.k', '25_gate', '26_attn.k', '26_attn.o', '26_gate', '28_attn.k', '28_attn.q', '28_mlp.down', '29_attn.q', '30_attn.k', '30_gate', '30_mlp.down', '30_mlp.up', '4_attn.v', '5_attn.q', '5_mlp.up', '7_attn.v', '8_attn.o', '9_attn.k'], rank: 1, tags: ['model: vicuna', 'repo_name: vicuna_channel_3_human_aging_All', 'file_name: vicuna_channel_3_human_aging_All_5000_5.pt', 'base_model: lmsys/vicuna-7b-v1.5', 'pruning_style: channel', 'community: 3', 'pruning_ratio: 20', 'dataset_label: human_aging', 'sparsity_ratio: 20', ""dataset: ['tasksource/mmlu', 'human_aging']"", 'finetune: All', 'modules_size: 38', ""modules: ['10_mlp.down', '11_attn.k', '13_attn.k', '15_attn.o', '16_attn.k', '16_attn.o', '16_attn.q', '17_attn.k', '17_gate', '18_attn.v', '19_attn.o', '20_mlp.down', '21_attn.k', '21_mlp.up', '22_gate', '22_mlp.down', '23_attn.k', '24_attn.q', '24_mlp.down', '25_attn.k', '25_gate', '26_attn.k', '26_attn.o', '26_gate', '28_attn.k', '28_attn.q', '28_mlp.down', '29_attn.q', '30_attn.k', '30_gate', '30_mlp.down', '30_mlp.up', '4_attn.v', '5_attn.q', '5_mlp.up', '7_attn.v', '8_attn.o', '9_attn.k']"", 'rank: 1'], arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"		transformers	text-generation		https://huggingface.co/KBhandari11/vicuna_channel_3_human_aging_All	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
satya-effybiz/face_aging			11	3	diffusers, safetensors, diffusers:StableDiffusionImg2ImgPipeline, region:us		diffusers	image-to-image		https://huggingface.co/satya-effybiz/face_aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
sksmsalsndi/slow-aging-ko-llm			9	0	safetensors, llama, region:us					https://huggingface.co/sksmsalsndi/slow-aging-ko-llm	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
marasama/nva-aging_V1			0	0	region:us					https://huggingface.co/marasama/nva-aging_V1	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
marasama/nva-aging_V1.5			0	0	region:us					https://huggingface.co/marasama/nva-aging_V1.5	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
marasama/nva-aging_bad1			0	0	region:us					https://huggingface.co/marasama/nva-aging_bad1	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
marasama/nva-aging			0	0	region:us					https://huggingface.co/marasama/nva-aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
Doctorwho94/Aging123			0	0	region:us					https://huggingface.co/Doctorwho94/Aging123	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
sergiygonta/Aging			0	0	region:us					https://huggingface.co/sergiygonta/Aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
satyadewangan/face_aging			0	0	region:us					https://huggingface.co/satyadewangan/face_aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
automorphic/LORA_20231221_041225_human_aging			0	0	pytorch, safetensors, en, dataset:cais/mmlu, arxiv:1910.09700, license:mit, region:us		pytorch			https://huggingface.co/automorphic/LORA_20231221_041225_human_aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
timroelofs123/face_re-aging			0	3	license:mit, region:us					https://huggingface.co/timroelofs123/face_re-aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
surya-narayanan/human_aging			0	0	transformers, safetensors, arxiv:1910.09700, endpoints_compatible, region:us		transformers			https://huggingface.co/surya-narayanan/human_aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
thang101020/aging			0	0	license:apache-2.0, region:us					https://huggingface.co/thang101020/aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
junyoung01/aging_test			0	0	onnx, region:us					https://huggingface.co/junyoung01/aging_test	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
Robys01/face-aging			0	1	region:us					https://huggingface.co/Robys01/face-aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
Ankush6866c/AGING_IQ			0	0	license:mit, region:us					https://huggingface.co/Ankush6866c/AGING_IQ	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
ASethi04/llama-3.1-8b-mmlu-human_aging-lora			0	0	safetensors, region:us					https://huggingface.co/ASethi04/llama-3.1-8b-mmlu-human_aging-lora	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
shadyshadyshades/BERT-Demographics			0	0	region:us					https://huggingface.co/shadyshadyshades/BERT-Demographics	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
