Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/RoxanneWAAANG/A4-Unet	RoxanneWAAANG	RoxanneWAAANG	
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/menglutao/Motor-imagery-classification-from-EEG-for-brain-computer-interface	menglutao	DiegoZanutti; menglutao	Jupyter Notebook
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/allengaller/a4c-rocky-club	allengaller	allengaller	
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/henrymasterlof/brainpill-a41e75f3-ind	henrymasterlof	henrymasterlof	
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN	xiaoxingxingkz	xiaoxingxingkz	Python
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN-MindSpore	xiaoxingxingkz	xiaoxingxingkz	Python
Brain Health Registry	BHR	Alzheimer's Disease; Parkinson's Disease; Cognitive Decline; Normal Aging; Multiple Neurodegenerative Conditions	https://github.com/snutley/BHR	snutley	snutley	R
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/stephaschultz/PSEN1_GSC_DIAN	stephaschultz	stephaschultz	
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-app	scify	PavlosIsaris; dependabot[bot]	TypeScript
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-Marketplace	scify	NikolasGialitsis; PavlosIsaris; stacksharebot; estafons	PHP
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	seowork321	seowork321	
European Medical Information Framework for Alzheimer's Disease	EMIF-AD	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/UoE-Dementia-Genomics/EMIF_Biomarkers_Methylation	UoE-Dementia-Genomics	rgs212	
Harvard Biomarker Study	HBS	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	https://github.com/williamkoller/challenge-brain-agriculture	williamkoller	williamkoller	TypeScript
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	chandrasekarnarayana	chandrasekarnarayana	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ankitganeshpurkar/AlzLeads	ankitganeshpurkar	ankitganeshpurkar	Python
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MyronFernandes/Alzheimer-s-MRI-Image-Classification-Model	MyronFernandes	MyronFernandes; myronfds	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/rf2485/eoad_wmh	rf2485	rf2485	
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Shalimar01/Health-Benefits-of-Red-Chilli-Powder-Shalimars.com	Shalimar01	Shalimar01	
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Akshaybhat5/Parkinson-s-disease-predictor	Akshaybhat5	Akshaybhat5	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Srishtichauhan5359/Parkinson-s-Disease-Detection	Srishtichauhan5359	Srishtichauhan5359	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JKBehnke/Beta_profile	JKBehnke	JKBehnke	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ashu979/FAll_DETECTION	ashu979	ashu979	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/rprokap/pset-9	rprokap	rprokap	JavaScript
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Tanaybalraj/Eye-blink-to-speech	Tanaybalraj	Tanaybalraj	Python
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/vineethsaivs/Brain-Tumor-Detection-using-Deep-Learning	vineethsaivs	vineethsaivs	CSS
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/satoshi-Nakomoto	mehdi4027		
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/mehdi4027/Solar-Gold-smart-safe-	mehdi4027		
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/guiverdoodt92/brainx-crm-chatbot	guiverdoodt92	guiverdoodt92	JavaScript
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/adrielyeung/comp-neuro	adrielyeung	adrielyeung	MATLAB
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Aman0525/Drowsiness-Detection	Aman0525	Aman0525	Python
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MananKhare/Blind-Stick-Navigator	MananKhare	MananKhare	
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System-	Franchglobal2	Franchglobal2	
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System	Franchglobal2	Franchglobal2	
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/martindessart/Brain_Like_A_Sieve	martindessart	martindessart	HTML
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/bishtshweta/CNN-and-Python--Based-detection-of-Brain-Strokes-using-MRI-Brain-images-that-leads-to-Epilepsy	bishtshweta	bishtshweta	Jupyter Notebook
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Gopher2016/Border-Detection-and-Image-Analysis-of-Implanted-Deep-Brain-Stimulation-Leads-in-Close-Proximity	Gopher2016	Gopher2016	MATLAB
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Technix-Technothon2k22/Binary-brains	Technix-Technothon2k22	SiddheshDabholkar; Alroyfernz; Technix-Technothon2k22; zeus11011	TypeScript
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/tonylincon1/Automacao-de-pesquisa-e-coleta-de-leads-no-linkedin	tonylincon1	tonylincon1	Python
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JonJon50/Brain-Storm	JonJon50	JonJon50	JavaScript
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ArmanAbroumand/supplementary-of-SCI	ArmanAbroumand	ArmanAbroumand	
LRRK2 Cohort Consortium	LCC	LRRK2 Parkinson's Disease; LRRK2 carriers without PD; Idiopathic Parkinson's Disease; Normal Controls	https://github.com/DappStarter/brainy-lonimip-bLcc	DappStarter		JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/shahidzikria/ADD-Net	shahidzikria	shahidzikria	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Ajax121/Comparison-of-Convolutional-neural-network-training-parameters-for-detecting-Alzheimer-s-disease-and	Ajax121	Ajax121	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/martindyrba/VisualAiD	martindyrba	devesh1611singh; martindyrba	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jamesmroe/AgeSym	jamesmroe	jamesmroe	R
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	chandrasekarnarayana	chandrasekarnarayana	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/nrohani/CAD-system-for-Alzheimer-detection-	nrohani	nrohani	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sumanrawat1026/Deep-Learning-for-Brain-Mapping	sumanrawat1026	dhanurmotwani; sumanrawat1026	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/shivamarora111/Alzheimer-detection-app	shivamarora111	shivamarora111	Java
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/SKVirk27/Alzheimer-s-at-the-Cellular-Level-Integrative-Mapping-from-GWAS-SNPs-to-Gene-Expression	SKVirk27	SKVirk27	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/leeeang/WearAreYou	leeeang	leeeang	C++
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/naomihabiblab/HumanDLPFC24	naomihabiblab	naomihabiblab	R
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/beratridvanasilturk/AlzheimersReminder	beratridvanasilturk	beratridvanasilturk	Swift
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Nibeth/Mapping-Alzheimers-disease	Nibeth	Nibeth	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/EnvejecimientoEnRed/envejecimiento_alzheimer_mapa	EnvejecimientoEnRed	CarlosMunozDiazCSIC	JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/willgocode/alzheimers-diagnosis-mapreduce	willgocode	eakelly	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/anoopctkm/Alzheimer-s-mapping-US	anoopctkm	anoopctkm	R
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/mayuan-0117/Alzheimer-s-project-MAPT-and-APPLOF	mayuan-0117	mayuan-0117	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/bia-amg/AD-Invivo-Amyloid-Mapping	bia-amg	bia-amg	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/binmishr/Mapping-the-Prevalence-of-Alzheimer-Disease-Mortality-in-the-USA	binmishr	binmishr	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/bricemcconnell/Mapping-Sleep-Oscillatory-Events	bricemcconnell	bricemcconnell	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ernest431/Geofencing	ernest431	ernest431	JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/GallinM/Clinical-Patient-Pathway-Map	GallinM	GallinM	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cocogon/Degus	cocogon	cocogon	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/gracenng/Alz-Prod	gracenng	NihalPotdar	Dart
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/RajLabMSSM/Fine_Mapping	RajLabMSSM	bschilder	HTML
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tatsuhikonaito/Trans-ethnic_MHC_fine-mapping_SS	tatsuhikonaito	tatsuhikonaito	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/DamarisVinueza/deberphyton	DamarisVinueza	DamarisVinueza	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sknoth/parkinson-help	sknoth	sknoth	JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/alexCortinaU/parkinson_classification	alexCortinaU	alexCortinaU	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/kajuni/Bodily-maps-of-symptoms-and-emotions-in-PD	kajuni	kajuni	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/khareyash05/Parkinson-s-Disease-Brain-Imaging	khareyash05	khareyash05	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ahmedmoustafa/AfricaPD	ahmedmoustafa	ahmedmoustafa	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/GSC23-HeadHome/HeadHome	GSC23-HeadHome	chayhuixiang; ongjx16; changdaozheng; Trigon25	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tmi-lab/AD-VD-ChronologicalMapping	tmi-lab	PBarnaghi; cw332	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/gvnberaldi/Pose2Action	gvnberaldi	gvnberaldi; iballester	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jayborch/Mapping-Tasmanian-Dementia-Risk	jayborch	jayborch	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/swaharoy/carepartners_map	swaharoy	swaharoy	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/SpaceTimee/Fusion-JetBrainsMapleMono	SpaceTimee	github-actions[bot]; SpaceTimee	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/netneurolab/neuromaps	netneurolab	rmarkello; justinehansen; liuzhenqi77; VinceBaz; estefanysuarez; eric2302; yarikoptic; vbeliveau	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/MICA-MNI/ENIGMA	MICA-MNI	saratheriver; Ianyliu; caseypaquola; neuroimagingdatascience; kmrasmussen; maciej-jedynak; mnoergaard; Melissa1909; slic-lab; codacy-badger; dependabot[bot]	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/xeden3/joplin-plugin-kity-minder	xeden3	xeden3	JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/connectomicslab/connectomemapper3	connectomicslab	sebastientourbier; emullier; Katharinski; joanrue; davidrs06; abirba; allcontributors[bot]; osorensen; mschoettner; anilbey; jwirsich; kuba-fidel; dvenum; jsheunis	HTML
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Aryia-Behroziuan/neurons	Aryia-Behroziuan	Aryia-Behroziuan	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sina-mansour/UKB-connectomics	sina-mansour	sina-mansour; AndrewZalesky	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/dolphin-in-a-coma/multi-task-cnn-eeg-emotion	dolphin-in-a-coma	dolphin-in-a-coma	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/spin-test/spin-test	spin-test	siyuanliu8; aaronab	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/murraylab/brainsmash	murraylab	rmarkello; jbburt; dependabot[bot]	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/quadbio/VoxHunt	quadbio	joschif; quadbiolab	HTML
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/DierMeng/JavaBrainMap	DierMeng	DierMeng	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sarslancs/graph_saliency_maps	sarslancs	sarslancs	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/AICONSlab/HippMapp3r	AICONSlab	entiri; mgoubran; jyheaton; pmojiri	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/chrisgorgo/alleninf	chrisgorgo	chrisgorgo; dankessler; rmarkello	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ins-amu/BVEP	ins-amu	mhashemi0873; davidrpenas	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sheepduke/silver-brain	sheepduke	sheepduke; dependabot[bot]; SilverDargon	Rust
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OpenXAIProject/Preprocessed_ABIDE_Dataset	OpenXAIProject	JunsikChoi	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OpenXAIProject/Preprocessed_IXI_Dataset	OpenXAIProject	JunsikChoi; wltjr1007	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/PRIME-RE/RheMAP	PRIME-RE	pcklink; niksirbi	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ngohgia/text2brain	ngohgia	ngohgia; mnhng	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/AmarBhatt/Temporal_Difference_Learning_Path_Planning	AmarBhatt	AmarBhatt	Matlab
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OishiLab/OpenMAP-T1	OishiLab	kei-lab1106; jhu-cnilab	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/vzachari/IronSmithQSM	vzachari	vzachari	Shell
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/owenrandlett/Z-Brain	owenrandlett	owenrandlett	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/netneurolab/markello_spatialnulls	netneurolab	rmarkello	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/CPernet/brain_colours	CPernet	CPernet	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/aviralchharia/Brain-Tumor-Detection-with-VGG-16-Transfer-Learning	aviralchharia	aviralchharia	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/mongoding/brain-map-collection	mongoding	mongoding	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/vsoch/TtoZ	vsoch	vsoch; jokedurnez	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tsopeh/mapaki	tsopeh	tsopeh; yoanhg421	Go
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/int-brain-lab/paper-brain-wide-map	int-brain-lab	mschart; juhuntenburg; berkgercek; oliche; chris-langfield; yanliangshi; GaelleChapuis; mayofaulkner; k1o0; themattinthehatt; berberto	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/stnava/BasicBrainMapping	stnava	stnava	Shell
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ntustison/ANTsXMouseBrainMapping	ntustison	ntustison; dontminchenit	TeX
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/YasPHP/BrainAR	YasPHP	YasPHP	Python
