Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	[clinical, imaging] Structural MRI; T1-weighted imaging; Clinical assessments; Demographic data	Alzheimer's Disease; Normal Controls	416 participants	https://sites.wustl.edu/oasisbrains/	Excellent FAIR compliance with open access neuroimaging data and standardized protocols	Human
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	[clinical, longitudinal, imaging] Longitudinal MRI; T1-weighted imaging; Clinical assessments; Cognitive assessments	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	150 participants	https://sites.wustl.edu/oasisbrains/	Excellent FAIR compliance with longitudinal neuroimaging data and standardized acquisition protocols	Human
Open Access Series of Imaging Studies - Multimodal	OASIS-3	[clinical, longitudinal, imaging] MRI; PET (PIB, AV45, FDG); DTI; FLAIR; ASL; Clinical assessments; CSF biomarkers; Cognitive testing; FreeSurfer processing	Alzheimer's Disease; Normal Controls; Cognitive Decline; Memory Disorders	1,378 participants	https://sites.wustl.edu/oasisbrains/	Excellent FAIR compliance with comprehensive multimodal neuroimaging and 30-year longitudinal data collection	Human
Parkinson's Disease Biomarkers Program	PDBP	[clinical, genetics, imaging] Clinical assessments; MRI; Blood biomarkers; CSF biomarkers; Genomics; Motor assessments; Cognitive testing	Parkinson's Disease; Atypical Parkinsonian Disorders; Essential Tremor; Normal Controls	1,000+ participants	https://pdbp.ninds.nih.gov/	Strong FAIR compliance with NINDS data sharing standards and integration with AMP-PD	Human
Parkinson's Progression Markers Initiative	PPMI	[clinical, longitudinal, transcriptomics, genetics, imaging] Clinical assessments; DaTscan SPECT; MRI; CSF biomarkers; Blood biomarkers; Genomics; WGS; RNA-seq; Cognitive testing; Longitudinal motor assessments	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	4,000+ participants	https://www.ppmi-info.org/	Excellent FAIR compliance with standardized protocols and open data sharing; integrated with AMP-PD platform	Human
Psychiatric Genomics Consortium Alzheimer's Disease Working Group	PsychAD	[clinical, genetics] Genomics; Clinical data; GWAS data	Alzheimer's Disease; Psychiatric disorders	40,000 participants	https://www.med.unc.edu/pgc/	Good FAIR compliance with genomic data sharing standards and psychiatric phenotype integration	Human
Religious Orders Study	ROS	[clinical, transcriptomics, genetics, proteomics, metabolomics] Clinical assessments; Neuropathology; WGS; RNA-seq; DNA methylation; H3K9Ac ChIP-seq; Proteomics; Metabolomics	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	1,200 participants	https://www.radc.rush.edu/	Excellent FAIR compliance with comprehensive multi-omics data and longitudinal clinical-pathological correlation	Human
Swedish BioFINDER-1 Study	BioFINDER-1	[clinical, genetics, imaging] Clinical assessments; MRI; PET; CSF biomarkers; Genomics; Cognitive assessments	Alzheimer's Disease; Parkinson's Disease; Mild Cognitive Impairment; Normal Controls	800 participants	https://biofinder.se/	Excellent FAIR compliance with standardized biomarker collection through EPND Hub	Human
Swedish BioFINDER-2 Study	BioFINDER-2	[clinical, genetics, imaging] Clinical assessments; MRI; Tau-PET; Amyloid-PET; CSF biomarkers; Plasma biomarkers; Genomics	Alzheimer's Disease; Parkinson's Disease; Mild Cognitive Impairment; Dementia; Normal Controls	600 participants	https://biofinder.se/	Excellent FAIR compliance with advanced tau-PET imaging and optimized clinical assessments	Human
Swedish BioFINDER-Preclinical AD Study	BioFINDER-Preclinical	[clinical, imaging] Clinical assessments; MRI; PET; CSF biomarkers; Plasma biomarkers; Cognitive assessments; Blood-based screening	Preclinical Alzheimer's Disease; Normal Controls	400 participants	https://biofinder.se/preclinical-ad/	Excellent FAIR compliance with focus on pre-symptomatic AD detection and trial-ready cohort development	Human
UK Biobank Neurodegenerative Cohort	UKB-Neuro	[clinical, genetics, imaging] MRI; Clinical assessments; Genomics; Electronic health records; Cognitive testing; Lifestyle data	Alzheimer's Disease; Parkinson's Disease; Dementia; Normal Aging; Multiple Neurodegenerative Conditions	40,000+ participants with brain imaging	https://www.ukbiobank.ac.uk/	Excellent FAIR compliance with population-scale data and comprehensive phenotyping	Human
Accelerating Medicines Partnership - Parkinson's Disease	AMP-PD	[clinical, longitudinal, transcriptomics, genetics, proteomics] Harmonized clinical data; WGS; RNA-seq; Targeted proteomics (Olink); Untargeted proteomics; CSF/plasma biomarkers; Motor assessments; Cognitive testing	Parkinson's Disease; Prodromal Parkinson's Disease; Genetic PD; Essential Tremor; Normal Controls	10,772 participants from 8 cohorts (BioFIND, HBS, PDBP, PPMI, LBD, LCC, Steady PD, Sure PD)	https://amp-pd.org/	Excellent FAIR compliance with harmonized multi-cohort data integration and open access through Terra/BigQuery	Multi-cohort; Human
Accelerating Medicines Partnership - Alzheimer's Disease	AMP-AD	[clinical, transcriptomics, genetics, proteomics, metabolomics] Multi-omics brain tissue data; RNA-seq; WGS; Proteomics; Clinical phenotypes; Neuropathology; Single-cell transcriptomics	Alzheimer's Disease; Frontotemporal Dementia; Progressive Supranuclear Palsy; Normal Controls	~2,600 brain samples including African American and Latin American donors	https://adknowledgeportal.synapse.org/Explore/Programs/DetailsPage?Program=AMP-AD	Excellent FAIR compliance with comprehensive multi-omics integration and diverse population representation	Multi-cohort; Human
AD Knowledge Portal Multi-Study Collection	AD-Portal	[clinical, longitudinal, transcriptomics, genetics, proteomics, metabolomics, imaging] Aggregated multi-modal data; Clinical assessments; Omics data; Imaging; Biomarkers; Model organism data	Alzheimer's Disease; Related Dementias; Aging; Normal Controls	100,000+ data files from 80+ studies across 10+ NIA programs	https://adknowledgeportal.synapse.org/	Excellent FAIR compliance as central repository with standardized metadata and integrated data access	Multi-cohort; Human; Mouse; Cell line
Accelerating Medicines Partnership - PD and Related Disorders	AMP-PDRD	[clinical, longitudinal, genetics, proteomics] Expanded biomarker discovery; Blood/saliva biomarkers; Alpha-synuclein assays; Multi-disorder comparison data; Clinical assessments	Parkinson's Disease; Multiple System Atrophy; Lewy Body Dementia; Progressive Supranuclear Palsy; Controls	Expanding AMP-PD cohorts with additional related disorders (launched 2024)	https://fnih.org/our-programs/accelerating-medicines-partnership-amp/parkinsons-disease-and-related-disorders/	Strong FAIR compliance building on AMP-PD infrastructure with focus on differential diagnosis biomarkers	Multi-cohort; Human
Mayo Clinic Brain Bank for Neurodegenerative Disorders	Mayo-Brain-Bank	[clinical, transcriptomics, genetics, proteomics] Brain tissue; RNA-seq; WGS; Proteomics; Neuropathology; Clinical records; Multi-region brain sampling	Alzheimer's Disease; Progressive Supranuclear Palsy; Corticobasal Degeneration; Frontotemporal Dementia; Normal Controls	5,000+ brain autopsy cases	https://www.mayo.edu/research/departments-divisions/department-neuroscience-florida/brain-bank	Excellent FAIR compliance with standardized neuropathological assessment and multi-omics characterization	Human
Mount Sinai Brain Bank	MSBB	[clinical, transcriptomics, genetics, proteomics] Brain tissue; RNA-seq; WGS; Proteomics; Clinical data; Neuropathology; Multi-region sampling	Alzheimer's Disease; Other Neurodegenerative Diseases; Normal Controls	1,200+ brain samples from 4 brain regions	https://icahn.mssm.edu/research/nih-brain-tissue-repository	Strong FAIR compliance with deep molecular profiling and clinical-pathological correlation	Human
Seattle Alzheimer's Disease Brain Cell Atlas	SEA-AD	[clinical, transcriptomics, genetics] Single-nucleus RNA-seq; Spatial transcriptomics; WGS; Neuropathology; Quantitative neuropathology; ATAC-seq	Alzheimer's Disease; Normal Aging	84 donor brains with deep molecular profiling	https://portal.brain-map.org/explore/seattle-alzheimers-disease	Excellent FAIR compliance with comprehensive single-cell profiling and spatial resolution data	Human
MODEL-AD Consortium	MODEL-AD	[transcriptomics, genetics, proteomics] Mouse model data; Behavioral phenotyping; Transcriptomics; Proteomics; Neuropathology; Drug screening data	Alzheimer's Disease (mouse models)	Multiple mouse models with human AD gene variants	https://www.model-ad.org/	Strong FAIR compliance with standardized mouse model characterization and preclinical testing pipeline	Mouse
