Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/yingjiegaryzhou/ADNI3_TauPET_TDA	yingjiegaryzhou	yingjiegaryzhou	R	YES - This repository is directly related to neuroscience and medical research, specifically analyzing Tau PET scans from the ADNI3 (Alzheimer's Disease Neuroimaging Initiative) study, focusing on brain imaging analysis for Alzheimer's disease research.	This repository implements a specialized image analysis pipeline for processing and analyzing Tau PET brain scans using topological data analysis methods. The workflow consists of several sequential steps: preprocessing of Tau PET and MRI data, extraction of specific brain regions of interest (focusing on hippocampus), image file conversion, and application of advanced analytical methods including Smooth Euler Characteristic Transform (SECT) and Structured Functional Principal Component Analysis (SFPCA). The purpose appears to be extracting meaningful features from brain imaging data to study tau protein deposits, which are significant markers in Alzheimer's disease. The analysis focuses specifically on the hippocampus region, which is crucial in memory formation and is particularly affected in Alzheimer's disease.	- Tau PET scan images (baseline scans from ADNI3 study) - MRI data - ROI (Region of Interest) data, specifically hippocampus - PNG image files (converted from scan data) - Clinical and diagnosis files - SECT matrices - Processed data matrices for SFPCA analysis	- R programming language (primary analysis tool) - SECT (Smooth Euler Characteristic Transform) algorithm - SFPCA (Structured Functional Principal Component Analysis) - Image processing tools (implied by PNG conversion) - ROI extraction tools - Data preprocessing scripts - Statistical analysis packages (specific packages not detailed in the repository description)
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	https://github.com/H-Snoussi/ADNI3-Blueprints	H-Snoussi	H-Snoussi	Shell	YES - This repository is directly related to neuroscience and medical research, specifically focusing on processing brain imaging data from the Alzheimer's Disease Neuroimaging Initiative (ADNI3) study, which is a major biomedical research project investigating Alzheimer's disease.	This repository contains source code for processing and analyzing diffusion MRI data from the ADNI3 study. The code implements a pipeline for creating brain connectivity blueprints and performing tractography, which are important techniques for mapping neural connections in the brain. The repository includes scripts for both preprocessing and processing steps of diffusion MRI data, allowing researchers to analyze brain structure and connectivity patterns. The workflow is designed to handle both T1-weighted and diffusion MRI data, with the goal of generating detailed maps of neural pathways that could be relevant for Alzheimer's disease research.	- T1-weighted MRI data - Diffusion MRI data - bvecs files (diffusion gradient directions) - bvals files (b-values for diffusion weighting) - Source: ADNI3 (Alzheimer's Disease Neuroimaging Initiative) study database - Image data formats not explicitly specified	Not specified in the provided repository information. While the repository likely uses neuroimaging analysis tools and frameworks, these are not explicitly mentioned in the provided content.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/bmcastrow/AmyloidbetaA4-pIC50-prediction	bmcastrow	bmcastrow	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease research, specifically predicting the inhibitory concentration (pIC50) of chemical compounds against Amyloid-beta A4, a key protein involved in Alzheimer's pathology.	This repository implements a machine learning pipeline for predicting the potency of chemical compounds against Amyloid-beta A4 protein. The project combines traditional machine learning and generative AI approaches to predict pIC50 values, which could help identify potential therapeutic compounds for Alzheimer's disease. The pipeline includes data exploration from the ChEMBL database, calculation of chemical descriptors using RDKit, generation of molecular fingerprints with PaDEL-Descriptor, and implementation of both tree-based machine learning models and a planned deep learning approach using ChemBERTa. The project incorporates MLFlow for experiment tracking and Optuna for hyperparameter optimization, making it a comprehensive framework for drug discovery applications.	- Chemical compound data from ChEMBL database - SMILES (Simplified Molecular Input Line Entry System) representations of molecules - Chemical descriptors (Lipinski descriptors) generated by RDKit - Molecular fingerprints generated by PaDEL-Descriptor - pIC50 values (inhibitory concentration measurements) - Experimental results and metrics stored in MLFlow tracking	1. Machine Learning Frameworks: - Traditional ML: Tree-based regressors - Deep Learning: ChemBERTa (Hugging Face) - LoRA (Low-Rank Adaptation) for fine-tuning 2. Chemical Analysis Tools: - RDKit for chemical descriptor calculation - PaDEL-Descriptor for molecular fingerprints 3. Development and Optimization: - Python 3.8.19 - MLFlow for experiment tracking - Optuna for hyperparameter optimization - Conda/miniconda for environment management 4. Version Control: - Git/GitHub
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/AAA-lab-genetic/Multiancestry_LRRK2_p.A419V	AAA-lab-genetic	LimKaiShi	Jupyter Notebook	YES - This repository is directly related to biomedical research, specifically focusing on Parkinson's disease genetics, studying the LRRK2 p.A419V genetic variant and its influence on disease onset in East Asian populations.	This repository contains analysis code for studying the LRRK2 p.A419V genetic variant in Parkinson's disease across multiple ancestry groups. The codebase is organized into several Jupyter notebooks that perform different aspects of genetic analysis including variant analysis, haplotype analysis, and age of onset studies. The main workflow includes data preparation, population-specific variant analysis, haplotype examination, and assessment of age of onset correlations. The analysis spans multiple datasets including GP2, AMP-PD, UKB, All of Us, and SG-EAS-WES cohorts, with a particular focus on East Asian populations. The code implements statistical analyses to evaluate the variant's role as a risk factor for Parkinson's disease and its relationship with disease onset age.	- Genomic data from multiple sources: - GP2 (Global Parkinson's Genetics Program) genotyping data - AMP-PD whole-genome sequencing data - UK Biobank genetic data - All of Us genomic data - East Asian whole-exome sequencing (EAS-WES) data - Clinical data including age of onset information - Population ancestry data - Haplotype data - Case-control status information	- Programming Languages: - Python - R - Bash - Bioinformatics Tools: - PLINK (genetic analysis tool) - GenoTools (v1.0.0) for genotyping imputation and quality control - Development Environment: - Jupyter Notebooks - Version Control: - Git/GitHub
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/RoxanneWAAANG/A4-Unet	RoxanneWAAANG	RoxanneWAAANG		YES - The repository is directly focused on medical imaging applications, specifically brain tumor segmentation from MRI scans, which is a critical application in medical diagnosis and neuroscience research.	A4-Unet is a deep learning architecture designed for automated brain tumor segmentation from medical images. The framework implements a novel neural network that combines multiple attention mechanisms with a U-Net architecture. Its key features include large-kernel convolutions for multi-scale feature extraction, a Swin Spatial Pyramid Pooling (SSPP) mechanism for hierarchical feature processing, and DCT-based channel attention in the decoder. The architecture is specifically optimized for medical image segmentation tasks, with a focus on improving the accuracy of brain tumor detection and delineation from MRI scans. The implementation includes skip connections and attention-based aggregation for enhanced segmentation performance, making it particularly valuable for clinical applications and medical research.	- MRI scan data from BRATS2020 dataset - File formats: .nii.gz (NIfTI format) - Multiple MRI modalities mentioned: * T1-weighted images * T2-weighted images * FLAIR images * T1ce (T1 with contrast enhancement) * Segmentation masks - Dataset structure includes training and testing sets - Source: University of Pennsylvania's CBICA BRATS2020 dataset	- Python 3.8+ - PyTorch (deep learning framework) - Git (version control) - Hugging Face (model checkpoint hosting) - Custom implementations: * Large-kernel convolutions * SSPP (Swin Spatial Pyramid Pooling) * DCT-based attention mechanism * U-Net architecture variants - Additional requirements specified in requirements.txt (specific packages not detailed in the repository information provided)
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/menglutao/Motor-imagery-classification-from-EEG-for-brain-computer-interface	menglutao	DiegoZanutti; menglutao	Jupyter Notebook	YES - This repository is directly related to neuroscience and biomedical research as it focuses on brain-computer interfaces (BCIs) and the analysis of electroencephalogram (EEG) signals for motor imagery classification.	This repository contains code for developing and implementing algorithms that classify motor imagery data from EEG recordings. The project's main purpose is to interpret brain signals that are generated when people imagine physical movements, with the ultimate goal of using these interpreted signals to control external devices through brain-computer interfaces. The repository appears to be structured as a Python-based project with a focus on signal processing and classification algorithms. The implementation aims to bridge the gap between neural signals and practical applications in assistive technologies or human-computer interaction through BCI systems. While the specific classification algorithms aren't detailed in the readme, the project's infrastructure is well-defined with clear setup instructions and contribution guidelines.	- EEG (Electroencephalogram) signal data - Motor imagery (MI) data from brain recordings However, specific file formats, data structures, and data sources are not explicitly mentioned in the repository information provided.	- Python (version 3.8 specified) - pyenv for Python version management - Git for version control - Virtual environment management tools - pip for package management - Additional Python packages (specific packages not detailed in the provided repository information as requirements.txt contents are not shown) Note: While the repository provides detailed setup instructions, specific analysis tools and packages are not explicitly listed in the provided information.
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/allengaller/a4c-rocky-club	allengaller	allengaller		"NO - Based on the limited repository information available, there is no clear indication that this repository is related to biomedical research, healthcare, or medical applications. The name ""Rocky Club"" and description ""Brain Storm and Build"" appear to be generic and do not suggest medical relevance."	"Based on the extremely limited repository information available, this appears to be a basic project setup for some kind of collaborative brainstorming or building initiative called ""Rocky Club."" The actual purpose, functionality, and features cannot be determined as there is minimal content visible in the repository beyond a basic README with the project name and a one-line description."	Not specified	"Not specified Note: This repository appears to be either empty, private, or containing minimal content, making it impossible to provide detailed analysis about its code, data types, or tooling. The only visible information is the repository name ""RockyClub"" and a brief description ""Rocky Club - Brain Storm and Build."""
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	https://github.com/henrymasterlof/brainpill-a41e75f3-ind	henrymasterlof	henrymasterlof		NO - While this repository mentions brain function and cognitive enhancement, it appears to be a promotional/marketing website for a commercial supplement product rather than legitimate biomedical research or healthcare application.	"This repository contains marketing content for a commercial supplement called ""BrainPill."" It consists of promotional webpage content written in Indonesian language that makes claims about cognitive enhancement and memory improvement. The repository does not contain actual code or research implementations, but rather appears to be a landing page template with product descriptions, testimonials, and affiliate marketing links. There is no functional code or biomedical research components present."	The repository only contains: - Markdown text files (.md) - Marketing images (.jpg, .png) showing product photos and logos - Affiliate marketing links No scientific or biomedical data types are present.	Not specified - The repository appears to be a simple static webpage using only basic Markdown formatting. No specific development tools, frameworks or analytics packages are referenced or implemented.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN	xiaoxingxingkz	xiaoxingxingkz	Python	YES - This repository is directly related to neuroscience and medical research, specifically focusing on Alzheimer's Disease brain imaging analysis using deep learning techniques for analyzing brain atrophy patterns.	This repository appears to contain a Generative Adversarial Network (GAN) implementation specifically designed for brain imaging analysis in Alzheimer's Disease research. The project, called BrainStatTrans-GAN, focuses on decoding individualized brain atrophy patterns in Alzheimer's patients. Based on the repository name and the included animation, it appears to be a tool that can transfer or translate brain status information, likely between different states or conditions of the brain. The GAN architecture is used to generate and analyze brain imaging data, potentially helping researchers understand disease progression patterns at an individual level.	From the animation shown in the repository, the data appears to be: - Neuroimaging data (likely MRI scans) - Brain visualization data - Image sequences showing brain atrophy patterns Specific file formats and data sources are not explicitly mentioned in the available information.	Not specified - While this is clearly a GAN-based implementation that likely uses deep learning frameworks, the specific tools, packages, and technologies are not explicitly listed in the visible repository information.
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	https://github.com/xiaoxingxingkz/BrainStatTrans-GAN-MindSpore	xiaoxingxingkz	xiaoxingxingkz	Python	YES - This repository is directly related to neuroscience and medical research, specifically focusing on Alzheimer's Disease and brain atrophy analysis using deep learning methods.	This repository appears to implement a Generative Adversarial Network (GAN) specifically designed for analyzing and transferring brain status patterns in Alzheimer's Disease patients. Based on the repository name and image shown, the project (BrainStatTrans-GAN) aims to decode individualized brain atrophy patterns using deep learning techniques. The GAN architecture appears to be implemented in MindSpore (as indicated by the repository name), and is designed to generate or transform brain imaging data to help understand disease progression patterns. The animated visualization suggests the system can model transitions or transformations in brain states, potentially useful for disease progression modeling or prediction.	Not specified in the provided repository information, though the visualization suggests the use of brain imaging data (likely MRI or similar neuroimaging data formats) given the brain visualization shown in the result GIF.	- MindSpore (indicated in repository name) - GAN (Generative Adversarial Network) architecture Other specific tools, packages, or frameworks are not specified in the provided repository information.
Brain Health Registry	BHR	Alzheimer's Disease; Parkinson's Disease; Cognitive Decline; Normal Aging; Multiple Neurodegenerative Conditions	https://github.com/snutley/BHR	snutley	snutley	R	"Not specified - The repository name ""BHR"" alone does not provide enough context to determine biomedical relevance without additional content or documentation."	"Not specified - The repository appears to be empty or contains minimal content, with only a title ""BHR"" visible. Without additional files, code, or documentation, the purpose and functionality cannot be determined."	Not specified - No data types, formats, or sources are visible in the repository content provided.	Not specified - No tools, packages, frameworks, or technologies are visible in the repository content provided. Note: To provide a more detailed analysis, additional repository content such as source code, documentation, README files, or other artifacts would be needed. The current view shows only a repository name without substantive content to analyze.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/stephaschultz/PSEN1_GSC_DIAN	stephaschultz	stephaschultz		"YES - The repository appears to be related to PSEN1 (Presenilin 1), which is a gene associated with early-onset Alzheimer's disease, and mentions ""DIAN"" which likely refers to the Dominantly Inherited Alzheimer Network."	"Not specified - While the repository name suggests it contains scripts related to PSEN1 and DIAN research and mentions it's an ""Initial Script for LN paper,"" there is insufficient public information to determine the specific functionality or purpose of the code."	Not specified - The repository name and description do not provide enough information to determine the specific data types or formats being used.	Not specified - The available repository information does not reveal which specific tools, packages, or frameworks are being utilized. Note: This analysis is limited by the minimal information available in the repository. A more detailed analysis would require access to the actual code files and documentation within the repository.
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook	YES - This repository focuses on modeling the spread of Amyloid Beta, a protein strongly associated with Alzheimer's disease, using data from the Dominantly Inherited Alzheimer's Network (DIAN), which is directly relevant to neuroscience and neurological disease research.	This repository contains code for implementing Epidemic Spreading Models (ESM) to analyze the propagation of Amyloid Beta proteins in the context of Alzheimer's disease. The project specifically works with data from the DIAN dataset, which focuses on inherited forms of Alzheimer's disease. The repository appears to be structured as a main project with submodules that contain the core ESM scripts and related data. The use of epidemic spreading modeling techniques suggests an approach to understand how Amyloid Beta pathology spreads through brain networks, which is crucial for understanding disease progression in Alzheimer's.	Based on the limited repository information provided: - DIAN (Dominantly Inherited Alzheimer's Network) dataset - Likely includes Amyloid Beta measurement data - Specific file formats and data structures are not specified in the visible content Note: Full data access appears to be restricted as indicated by the submodule update instructions	- Git (version control) - Git submodules for managing external dependencies - Other specific analysis tools and frameworks are not specified in the visible content
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB	YES - This repository is clearly focused on biomedical research, specifically related to Alzheimer's disease research through the Dominantly Inherited Alzheimer Network (DIAN). The presence of MRI data suggests neuroimaging analysis in the context of Alzheimer's research.	Based on the repository name and available information, this appears to be a codebase for analyzing hub disruption and functional connectivity (FC) in Alzheimer's disease research. The repository is associated with a 2024 study by Tu et al. focusing on hub disruption analysis using functional connectivity data from the DIAN network. While specific code details aren't visible, the project appears to involve analysis of neuroimaging data, specifically focusing on brain connectivity patterns in the context of inherited Alzheimer's disease. The repository requires specific data access approval through DIAN, indicating the sensitive and regulated nature of the medical data being analyzed.	1. MRI data (referenced in MRI_subjectlist_N207_221213.xlsx) 2. Excel spreadsheet (.xlsx) containing subject information 3. CSV files containing: - Regression covariates (regression_covariates.csv) - Hub Disruption Index data (HDI_individual_acrossthreS(z-score).csv) 4. The data appears to be protected/private medical data requiring specific access approval through DIAN	Not specified in the provided repository information. While the repository likely uses specific analysis tools and frameworks for neuroimaging and statistical analysis, these are not explicitly mentioned in the provided information.
